Tasks: 297 total,  14 running, 280 sleeping,   0 stopped,   0 zombie
Mem:   3001108k total,  2952880k used,    48228k free,    22336k buffers
Swap:  1572860k total,   409508k used,  1163352k free,   957800k cached
800%cpu  76%user   0%nice  42%sys 682%idle   0%iow   0%irq   0%sirq   0%host
  PID USER         PR  NI VIRT  RES  SHR S[%CPU] %MEM     TIME+ ARGS                       
18127 u0_a1242     10 -10 2.4G 847M 633M S 84.8  28.9   4:47.23 com.kyowon.aicando.elem
18491 shell        20   0 6.3M 3.1M 2.4M R 24.2   0.1   0:00.11 top -n 1 -b
 2895 system       -2  -8 175M 7.7M 5.1M S  9.0   0.2  55:36.82 surfaceflinger
17843 root          0 -20    0    0    0 S  3.0   0.0   0:04.69 [kworker/u17:0]
 3317 system        1 -19 2.1G 154M  84M S  3.0   5.2  76:37.44 system_server
 3012 wifi         20   0 9.3M 1.6M 1.4M S  3.0   0.0   0:09.34 wificond
 2971 root         20   0    0    0    0 S  3.0   0.0   0:38.53 [jbd2/dm-3-8]
 2873 system       20   0  11M 1.3M 1.0M S  3.0   0.0   7:45.75 android.hardware.sensors@1.0-service
 2869 system       -3  -8 104M 2.1M 1.7M S  3.0   0.0  12:07.45 android.hardware.graphics.composer@2.1-service
 2862 audioserver  20   0  48M 4.0M 3.0M S  3.0   0.1  15:17.43 android.hardware.audio@2.0-service
 1570 root         20   0    0    0    0 S  3.0   0.0   3:39.94 [decon0]
 1505 root         RT   0    0    0    0 R  3.0   0.0  16:55.44 [eax-mixer]
  761 root         20   0    0    0    0 S  3.0   0.0   3:27.30 [cfinteractive]
18465 root         20   0    0    0    0 S  0.0   0.0   0:00.65 [kworker/0:1]
18391 u0_a79       20   0 1.7G 103M  96M S  0.0   3.5   0:00.34 com.android.chrome:webview_apk
18365 u0_a79       20   0 1.7G  66M  61M S  0.0   2.2   0:00.17 com.android.chrome:webview_service
18333 u0_i90       10 -10 1.6G 155M 136M S  0.0   5.2   0:03.11 com.android.chrome:sandboxed
18281 root          0 -20    0    0    0 S  0.0   0.0   0:00.00 [kbase_event]
18169 root         20   0    0    0    0 S  0.0   0.0   0:00.00 [kworker/6:0]
18146 root          0 -20    0    0    0 S  0.0   0.0   0:00.00 [kbase_event]
